,Star,Summary,Description
83,5,Longterm review Fanless Wonder,"I had fears about getting a laptop with passive cooling, even though I don't do video editing or compile big programs on the Air, even for web development and writing small scripts a fanless laptop seemed like a bad idea but after using this I can this thing is totally fine and wonderful

Docker works fine some issues do come up but for simple development of C++, Python apps along with Postgres SQL docker with some configurations the M1 chip has so far caused no issues.

I run vscode, pycharm the project is not too huge but with safari or chrome running with 6-8 tabs this wonder does not heat up or cause any instability.

The display is the best I have used so far, the speakers are far better than equivalent windows laptops

Some Cons:

1) No simple keyboard shortcut to control keyboard backlighting,
2) As a long-term windows user, the shortcuts like arrow key + Win key to resize apps/stack apps is something I truly miss, Mac does have its own multitasking/split screen way but I prefer windows installing a third party for this seems unnecessary
3) Battery life on 12.4 is a bit less than when I got the MacBook Air
4) Switching to Mac shortcuts takes a bit of time
5) Need to buy a type C Dongle, as I work of ethernet port mostly"
84,5,"Premium, Authentic, Epitome of perfection.","Premium laptop with all the premium features, I purchased this laptop for 64k in Great Indian sale offer, I was bit skeptical on the apps and software as I am new to the MacOS, I installed MS office and other apps from outside, everything is working well in this laptop. It is the best Laptop for this price now. Very comfortable and user friendly laptop. However if you are searching for something basic go for HP. If you are looking for premium product buy this Laptop."
85,4,Superb laptop,"Quality comfort sound quality appearance

Paid 59K. Worth laptop and smooth operating.

Camera quality very low. Atleast should have 3MP camera."
86,4,Better then expected.,"What a nice feeling, this is my first experince of Mac, after years of using windows finally I feel glad to get introduced to Ma, it is like a man living on earth has entered into Mars... Thank you Amazon."
87,5,Totally worth the money.,"Ideal laptop for office / personal use except gaming. No lag, no hassles, great battery life, lightweight and sleek and looks like a charm.

Perfect device for customers who are not into extremely heavy editing and gaming."
88,5,Awesome,Nice product satisfied
89,5,But laptop under 70k if you are not a heavy gamer,"I think at this price point the quality that Apple delivers that’s unbeatable,other windows laptops built quality that they can provide at this price range is average, you can play games on this laptop Apple has lunched arcade games like asphalt, evil dead ,metro horizon, gta 5 this laptop is best for students because it’s provide everything that you need overall all just go for it if you want a long term performing and value for money laptop"
90,4,Worth it,Worth every penny if you get it in a sale of 70K or less
91,5,overall experience is good,"battery backup is very impressive it lasts for 1 day on normal usage and it take about 3 hrs to charge 100% and about 60-90 mins to 80%. built quality is decent (not metal body) smooth experience for coding and editing. portable easy to carry. no heating issues(heat up while charging and heavy use and it's cools down in few minutes)

not much recommended for gaming
smaller as compared other laptops(not an issue)"
92,5,Best laptop,"I have been using Macs since 2009. They are the absolute best... sturdy , reliable great battery etc it's the same with this mac air too.. it's a sep 2023 manufactured Mac air"
93,4,Excellent product in this price range.,I am satisfied with the amazon service and apple product but only issue i found that the charger get heat up in 15 min of continuous charging.
94,4,Every thing is good,Port should be incressed or the company should provide option to the customer to buy an extra type c hub
95,4,Mac,"Amazing product, work very smoothly"
96,4,Nice product,All things are ok you get a genuine apple product . A nice and safe delivery but their is one thing bad in the invoice their is no serial no. Of the product so this can be a hurdle in claiming warranty in future .. thats the only one thing otherwise the best deal you get
97,4,Working 💪 good,Buy from official website if you have proper money 🤑
98,4,Good,I really satisfied
99,5,Just Ummazing,"What I liked is everything the display, speaker , the perfect body , speed , battery,quite decent for editing projects(Not for 4k) , coding , for any heavy multitasking....it's beast in this prize range absolutely stunner . Don't have a sec thought of other laptop as a student I will recommend to buy this and if you're are an engineering student must buy."
